,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Atlanta Utd,32,34.0,69,3,1,387,391,64,702,292,302,2,6,0,1845,365,355,50.7
1,Austin,26,34.0,73,4,3,420,353,64,586,292,229,2,7,1,1542,362,368,49.6
2,CF Montréal,25,34.0,79,3,2,382,408,50,593,287,266,4,6,2,1820,382,299,56.1
3,Charlotte,32,34.0,62,2,0,429,371,33,644,302,297,3,4,1,1759,387,454,46.0
4,Chicago Fire,28,34.0,86,5,4,468,436,77,603,368,345,3,5,1,1864,443,415,51.6
5,Colorado Rapids,28,34.0,94,6,4,422,367,55,625,299,265,4,11,0,1604,469,364,56.3
6,Columbus Crew,26,34.0,65,1,0,359,483,60,582,318,319,1,4,2,1806,421,463,47.6
7,D.C. United,38,34.0,73,5,3,463,353,50,621,350,273,1,5,3,1744,495,478,50.9
8,FC Cincinnati,28,34.0,77,4,2,426,343,56,505,329,311,5,10,1,1826,451,430,51.2
9,FC Dallas,24,34.0,78,3,2,402,366,55,462,303,299,1,6,0,1681,297,400,42.6
10,Houston Dynamo,27,34.0,95,6,5,384,325,52,532,333,291,2,8,2,1601,332,383,46.4
11,Inter Miami,30,34.0,69,5,3,405,344,67,424,332,305,4,5,1,1707,292,309,48.6
12,LA Galaxy,25,34.0,80,4,1,409,371,56,608,292,264,7,7,0,1714,308,279,52.5
13,Los Angeles FC,30,34.0,79,2,1,463,400,48,589,325,351,5,4,2,1853,455,422,51.9
14,Minnesota Utd,26,34.0,79,2,2,402,354,52,574,356,319,4,5,4,1889,369,442,45.5
15,Nashville,23,34.0,73,2,1,388,367,68,655,320,269,7,9,0,1646,578,441,56.7
16,New England,32,34.0,56,2,1,342,352,48,728,286,267,5,12,2,1753,388,377,50.7
17,NY Red Bulls,28,34.0,85,5,4,525,381,52,556,381,396,8,1,0,2081,652,629,50.9
18,NYCFC,25,34.0,81,2,1,411,426,53,584,280,315,5,1,2,1942,391,389,50.1
19,Orlando City,27,34.0,81,3,2,395,480,42,590,292,338,2,6,1,1663,389,363,51.7
20,Philadelphia,22,34.0,68,3,3,488,366,57,574,387,369,7,5,0,1864,536,529,50.3
21,Portland Timbers,27,34.0,94,5,4,450,372,28,583,368,338,9,2,2,1829,400,448,47.2
22,Real Salt Lake,32,34.0,69,1,1,351,331,65,739,363,282,2,9,0,1683,411,439,48.4
23,San Jose,27,34.0,66,1,0,377,457,39,596,381,294,5,6,0,1741,310,313,49.8
24,Seattle,26,34.0,64,4,3,335,405,61,717,361,321,7,7,0,1800,408,391,51.1
25,Sporting KC,25,34.0,64,6,3,375,410,26,561,313,264,2,6,1,1680,360,401,47.3
26,Toronto FC,33,34.0,66,2,0,333,433,41,444,341,304,7,4,2,1880,363,385,48.5
27,Vancouver,33,34.0,70,3,2,384,376,52,657,347,318,5,7,0,1693,419,467,47.3
