,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Atlanta Utd,32,34.0,18233,16557,1612,448,71,164,702,603,221,96,97,0,15046,64,295
1,Austin,26,34.0,16929,15271,1594,417,39,220,586,664,152,77,36,2,13719,64,217
2,CF Montréal,25,34.0,18017,16342,1625,477,37,187,593,650,185,80,71,0,14888,50,283
3,Charlotte,32,34.0,17202,15542,1627,427,40,156,644,688,171,68,60,8,13762,33,306
4,Chicago Fire,28,34.0,15344,13550,1717,494,36,157,603,717,156,92,38,0,11822,77,265
5,Colorado Rapids,28,34.0,14493,12857,1581,415,37,204,625,615,182,97,80,0,11340,55,244
6,Columbus Crew,26,34.0,16737,15030,1647,505,45,161,582,643,169,66,66,2,13516,60,257
7,D.C. United,38,34.0,14472,12743,1679,420,32,151,621,719,153,60,45,20,10843,50,285
8,FC Cincinnati,28,34.0,14315,12701,1558,385,56,124,505,646,152,66,61,1,10853,56,270
9,FC Dallas,24,34.0,16661,15027,1579,393,69,131,462,672,149,44,58,1,13450,55,247
10,Houston Dynamo,27,34.0,15982,14443,1487,366,63,137,532,555,151,54,46,7,13023,52,236
11,Inter Miami,30,34.0,15680,14160,1453,375,55,158,424,557,137,65,39,0,12686,67,228
12,LA Galaxy,25,34.0,19110,17492,1562,436,52,181,608,576,199,83,46,0,16014,56,259
13,Los Angeles FC,30,34.0,16227,14550,1629,441,53,111,589,672,209,156,40,1,12882,48,285
14,Minnesota Utd,26,34.0,14778,13132,1594,373,55,133,574,682,178,87,75,1,11442,52,278
15,Nashville,23,34.0,15036,13499,1469,373,28,122,655,581,158,92,57,1,11732,68,240
16,New England,32,34.0,17419,15851,1520,391,35,153,728,631,158,51,56,2,14091,48,294
17,NY Red Bulls,28,34.0,12375,10703,1620,406,37,73,556,746,176,109,18,1,8238,52,282
18,NYCFC,25,34.0,18609,16924,1632,493,64,132,584,651,178,95,38,3,15247,53,294
19,Orlando City,27,34.0,16009,14373,1594,518,48,105,590,579,151,66,54,1,12983,42,237
20,Philadelphia,22,34.0,13302,11726,1519,408,45,151,574,611,156,97,51,0,9706,57,288
21,Portland Timbers,27,34.0,15475,13899,1548,434,33,208,583,580,149,68,68,2,12122,28,232
22,Real Salt Lake,32,34.0,15142,13551,1526,369,42,197,739,603,187,133,43,2,11727,65,226
23,San Jose,27,34.0,17826,16089,1698,499,59,166,596,659,187,56,88,0,14658,39,285
24,Seattle,26,34.0,18041,16397,1583,438,34,186,717,587,167,52,64,1,14686,61,278
25,Sporting KC,25,34.0,16297,14606,1665,501,36,189,561,689,141,72,41,4,13145,26,268
26,Toronto FC,33,34.0,17324,15526,1757,509,50,131,444,672,165,104,37,2,13884,41,287
27,Vancouver,33,34.0,14425,12868,1505,406,30,122,657,568,153,86,50,3,11163,52,237
